u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15
0.232461178,0.625403242,0.34927645,0.341356539,0.123004795,0.708998135,0.086856252,0.717726699,0.15095204,0.597808393,0.40030656,0.563033275,0.727709694,0.531544549,0.158312629
0.172235365,0.625151526,0.975457142,0.650350294,0.297773507,0.057338868,0.713647179,0.561951833,0.309667977,0.57015039,0.829717567,0.449929295,0.665333353,0.614446009,0.923102974
0.786965644,0.829061491,0.183516913,0.982554728,0.173855638,0.242873489,0.631277754,0.925958036,0.817375887,0.279538172,0.378281605,0.834309187,0.94548384,0.296307373,0.939092362
0.029264545,0.31900472,0.46953854,0.165547704,0.224267605,0.617656273,0.132907543,0.253819161,0.942035944,0.677006515,0.64176456,0.722984548,0.189884077,0.395187886,0.875601674
0.72594102,0.408626343,0.583254701,0.774873318,0.349514946,0.896699529,0.741708164,0.128887937,0.501184665,0.438515652,0.303620742,0.612639086,0.065996408,0.546244583,0.773233726
0.391321964,0.131093855,0.513307251,0.649035164,0.346032425,0.717718906,0.911382025,0.936322673,0.118380792,0.361050925,0.599513152,0.746888623,0.015554965,0.380991459,0.449895175
0.332215609,0.004980405,0.496121507,0.658252266,0.461528212,0.652363673,0.945285504,0.068939852,0.962363735,0.809605871,0.961862327,0.513317267,0.033260921,0.500920677,0.062546607
0.936691484,0.58355463,0.796954453,0.382787317,0.511528868,0.287034366,0.731479949,0.818612759,0.534000454,0.61060742,0.081245795,0.360691577,0.925014395,0.844550196,0.549070894
0.941962979,0.002508696,0.140776795,0.313528146,0.200700817,0.586858121,0.898744912,0.588505263,0.964949032,0.115995463,0.998379177,0.532069098,0.532805481,0.406851162,0.273420751
0.049683202,0.280453794,0.852063215,0.884036962,0.279856495,0.857978976,0.768207996,0.669595112,0.710249064,0.527319123,0.362898074,0.366127156,0.210392309,0.197733081,0.327296934
0.562652318,0.293408048,0.534745371,0.247530613,0.002595044,0.358082228,0.597184528,0.798569442,0.820540989,0.859825067,0.35143817,0.753914751,0.871857048,0.167633645,0.027025076
0.354044888,0.726712532,0.700967753,0.4754981,0.491130502,0.142851934,0.576180558,0.137083569,0.087397311,0.886175917,0.949306511,0.203444829,0.204375844,0.336539481,0.768688137
0.357757121,0.372791305,0.484241132,0.332721972,0.776373108,0.55924093,0.274411766,0.475073415,0.030911603,0.635540407,0.32841433,0.275272377,0.826152277,0.501497064,0.776253937
0.811874751,0.078697425,0.612648634,0.130522674,0.871982238,0.41550592,0.423462342,0.357011303,0.937256547,0.70698417,0.494256081,0.368995308,0.03684088,0.955938419,0.291048373
0.532299294,0.078564013,0.153442036,0.385293385,0.261620043,0.058500576,0.317896445,0.60100977,0.291295373,0.043289259,0.377626514,0.374571357,0.006695548,0.285483369,0.3941474
0.755906467,0.517469431,0.374459353,0.816783972,0.778202404,0.120508888,0.561001805,0.033001,0.057395141,0.67510769,0.115748323,0.90989101,0.252000096,0.499206349,0.315779378
0.08233776,0.470847519,0.623650739,0.003800969,0.349635064,0.133826696,0.93563241,0.847761151,0.312638221,0.180113866,0.570272497,0.44702216,0.271196225,0.912627362,0.004909461
0.747799159,0.686321519,0.308829045,0.411103006,0.352766221,0.344159685,0.357165613,0.098241477,0.517178633,0.943576212,0.271195941,0.720402199,0.250991398,0.805324435,0.728982329
0.023011318,0.488606612,0.064208864,0.795464316,0.347572606,0.925589472,0.080119446,0.248925546,0.813531686,0.808123106,0.892496307,0.639637055,0.19442972,0.770275836,0.960620191
0.835130596,0.204579093,0.006532616,0.14083247,0.535862443,0.193094697,0.708909847,0.143984996,0.572506255,0.784947189,0.215196354,0.651279574,0.803735341,0.343639047,0.852113333
0.132252038,0.285511886,0.137855549,0.618022108,0.836504662,0.275463805,0.814064418,0.618484342,0.652380614,0.929886065,0.775797931,0.221757276,0.648517866,0.028759488,0.032865284
0.042001443,0.22918453,0.326143129,0.342663829,0.203328797,0.384505806,0.139102024,0.567606999,0.820465026,0.222483643,0.858967419,0.385508316,0.971019171,0.645071626,0.563252586
0.062662618,0.535357459,0.258878019,0.959204437,0.026440733,0.028077619,0.065421351,0.296282557,0.315494736,0.982344403,0.005478869,0.140107558,0.417955696,0.830588944,0.421797616
0.688441479,0.066836625,0.390148472,0.160825754,0.866221328,0.632907794,0.10691433,0.365569759,0.447066885,0.436391791,0.773080111,0.734883959,0.662024934,0.659824088,0.467574916
0.08298966,0.559104854,0.94747409,0.193530162,0.80561343,0.479559931,0.526264334,0.480295129,0.986136769,0.372678101,0.023617275,0.520412035,0.162746661,0.645350518,0.742392332
0.709417867,0.191831212,0.238757526,0.137194439,0.529320513,0.022038505,0.223131712,0.930036696,0.296397551,0.818124559,0.120188283,0.596118724,0.942087038,0.482590283,0.287024634
0.487261627,0.868831971,0.061409579,0.113550733,0.926772332,0.692544579,0.042131629,0.329861406,0.125840525,0.884938741,0.872880234,0.921854054,0.135853331,0.234605012,0.104204857
0.419563045,0.063166706,0.122877683,0.059461099,0.75971498,0.797443085,0.048331727,0.409845299,0.785599798,0.817285366,0.949559546,0.545274611,0.704014621,0.481487042,0.425115085
0.348674525,0.202484102,0.87926244,0.84876999,0.948052635,0.850781984,0.789595721,0.809393701,0.341740873,0.37352661,0.64954506,0.806249383,0.518902516,0.13068047,0.277930492
0.396087065,0.332164349,0.175590456,0.583234791,0.341587477,0.70430115,0.487049209,0.490130164,0.202502895,0.307976683,0.51742522,0.377990368,0.890966099,0.431887546,0.438000267
0.824336794,0.128947019,0.705606075,0.617760881,0.196232058,0.188648153,0.986632476,0.96578203,0.468479284,0.423523012,0.258751241,0.693403553,0.415967366,0.188823746,0.802808481
0.174911834,0.888938898,0.93842075,0.903433084,0.27773137,0.360584432,0.411429067,0.9396843,0.971281125,0.514394764,0.427186552,0.777144665,0.404802933,0.842578413,0.99870272
0.156688166,0.09691517,0.890073672,0.582691003,0.213670448,0.63169271,0.852525762,0.058671058,0.916514892,0.98216149,0.881543325,0.137657572,0.667101356,0.072581173,0.880786404
0.946831151,0.416418192,0.992463016,0.991084171,0.27146288,0.888027911,0.02556243,0.73353995,0.690117153,0.744698633,0.474843013,0.126407443,0.920868997,0.912886377,0.898638538
0.604838354,0.883349063,0.960733975,0.215566505,0.567572784,0.370962924,0.944342394,0.933049108,0.628460933,0.139602501,0.808898502,0.752978908,0.312587465,0.765948705,0.758463876
0.189184138,0.166607245,0.426513309,0.1427461,0.670415436,0.9769887,0.495306981,0.565985519,0.241266515,0.546154822,0.176092426,0.332336279,0.981169508,0.490103414,0.892366367
0.690508798,0.230846107,0.245460739,0.631724795,0.307823655,0.049680779,0.268852355,0.906458127,0.892761586,0.35406158,0.213461332,0.670730434,0.235066274,0.37149621,0.532496618
0.611308995,0.719601299,0.71046358,0.722041699,0.462232206,0.460850013,0.631476739,0.002517394,0.435822772,0.744571237,0.569798186,0.289260005,0.071408893,0.210374536,0.762565326
0.220100474,0.958279366,0.661477986,0.881927409,0.364297806,0.574517738,0.907903357,0.022723964,0.325722531,0.597484181,0.882745595,0.699187886,0.621047254,0.484179518,0.595490721
0.223801497,0.222176241,0.123408084,0.782407072,0.922995031,0.409929573,0.09236346,0.771027295,0.419392961,0.629562253,0.528883383,0.53081102,0.063833943,0.900864232,0.140529561
0.737344856,0.34241587,0.025427099,0.122028603,0.137450562,0.967389536,0.897463476,0.548362159,0.134544693,0.949425237,0.2547327,0.615724859,0.818356053,0.152393145,0.201343398
0.031889426,0.17168555,0.43659585,0.132922503,0.422884501,0.726977853,0.084792859,0.877010804,0.219515282,0.196898049,0.392196804,0.372871873,0.085466481,0.822026159,0.013253085
0.803103735,0.787984026,0.088550134,0.929036561,0.260849264,0.844003307,0.820208254,0.887660575,0.670610005,0.621175059,0.926161615,0.029594024,0.844933676,0.155384596,0.867305977
0.156674854,0.305835712,0.597337285,0.422029123,0.677918571,0.169172407,0.174498266,0.126464476,0.319190952,0.941692137,0.587400953,0.377182197,0.735337761,0.711790022,0.981428191
0.410068764,0.477199327,0.837298613,0.705505876,0.116580789,0.230519038,0.276591392,0.165307352,0.732746162,0.678609041,0.79375906,0.982975701,0.349574225,0.65436095,0.489103014
0.226516551,0.727326549,0.58192791,0.393900609,0.215245286,0.11380149,0.506810576,0.846896688,0.845540075,0.194786459,0.637367908,0.44008173,0.895654077,0.924134439,0.69617967
0.6483635,0.280867428,0.398791757,0.380834242,0.959323493,0.82670444,0.260078477,0.808337761,0.479701749,0.539041118,0.312262722,0.117656676,0.429385428,0.502362278,0.850941086
0.219449757,0.750499867,0.664655992,0.300258487,0.817906803,0.09952814,0.90280644,0.623410485,0.825317121,0.435714271,0.857273162,0.127210633,0.946715452,0.424572942,0.364283877
0.195081902,0.581912269,0.399136593,0.957564878,0.922636663,0.867976889,0.089466741,0.370849289,0.683256521,0.546752056,0.369468861,0.548077336,0.024163252,0.393130243,0.966188415
0.614288433,0.799859671,0.868388219,0.21304127,0.707840067,0.390201737,0.420450986,0.326696922,0.835256588,0.978930649,0.521296285,0.359700979,0.747390444,0.449782622,0.118759285
0.368544329,0.855072724,0.961954865,0.342946872,0.519116731,0.12270948,0.763505524,0.506866384,0.315697529,0.080397995,0.257077173,0.724620278,0.03168791,0.920668831,0.805233128
0.326243903,0.554571794,0.900792621,0.414221054,0.641463803,0.293705654,0.828704206,0.432204618,0.822748247,0.381789493,0.526761821,0.504709211,0.401511564,0.493083802,0.985660259
0.313553371,0.449600452,0.47772971,0.77054219,0.05926567,0.002074849,0.721568443,0.806730977,0.436693855,0.332149801,0.612164297,0.401839704,0.70601128,0.756909562,0.743742697
0.631085657,0.961075216,0.95074677,0.13708744,0.332345892,0.184741203,0.287369197,0.440270146,0.375663005,0.168908015,0.104717136,0.301573359,0.522496067,0.538816464,0.236283246
0.752794677,0.746958053,0.952023252,0.336222239,0.798461349,0.594505573,0.15678935,0.541203695,0.412069534,0.824090721,0.604430853,0.249193506,0.322809625,0.286900997,0.602079214
0.288963601,0.236236465,0.01621713,0.594705898,0.888391143,0.279079273,0.162361617,0.224426448,0.683384311,0.022658294,0.675631392,0.733661527,0.665673144,0.617083224,0.072187098
0.595063048,0.898083796,0.979789788,0.972569701,0.502803242,0.365871203,0.340505906,0.642934536,0.411201609,0.335370855,0.423697017,0.546694229,0.231580965,0.295393547,0.870713216
0.939549141,0.380456888,0.383911695,0.397192782,0.250003856,0.659869788,0.472238211,0.828592407,0.716175525,0.172026637,0.538939836,0.325946894,0.621635003,0.024044852,0.105120383
0.558258412,0.959773146,0.112328158,0.676218419,0.953573606,0.54120764,0.061285186,0.706677649,0.702649169,0.65404963,0.403196807,0.742757906,0.773853508,0.57440544,0.030158615
0.791158644,0.458560503,0.280657744,0.591520499,0.981679443,0.712205014,0.880736783,0.908930186,0.918345283,0.165530268,0.070887157,0.019187916,0.255404458,0.913800934,0.222070204
0.209405344,0.364660451,0.246559554,0.127074099,0.919507314,0.813913949,0.767121893,0.783597173,0.591208043,0.467796138,0.853021908,0.870364379,0.010701221,0.257990599,0.991250082
0.871252335,0.919689381,0.48644175,0.660326564,0.858684181,0.546107807,0.561707203,0.993832707,0.40882519,0.527408726,0.159276056,0.907899954,0.928935391,0.03076117,0.072830931
0.43137915,0.741981362,0.16463202,0.000294786,0.964279745,0.268535716,0.423899906,0.360766316,0.296541836,0.929356869,0.190858301,0.487817414,0.184535622,0.747927415,0.45419434
0.217126963,0.82616186,0.50374582,0.752315357,0.585487841,0.678810823,0.999464366,0.81850222,0.585071211,0.550754221,0.36766158,0.002512351,0.691627174,0.159109552,0.455699248
0.779192475,0.438550769,0.087183677,0.020257715,0.432704138,0.145799022,0.771808091,0.179250655,0.930898839,0.319504872,0.924919172,0.516854644,0.231981634,0.06061391,0.73725459
0.664507953,0.908088301,0.739100735,0.489825937,0.630004644,0.010769503,0.411442733,0.645225768,0.185645714,0.789864806,0.883003394,0.735456218,0.804641542,0.770259535,0.930322542
0.952156166,0.63771165,0.247884747,0.979873687,0.662136385,0.128207331,0.501730762,0.765299107,0.161392251,0.573510399,0.805937096,0.122890958,0.908817118,0.269087869,0.275335202
0.948900117,0.640937181,0.022537479,0.463980758,0.213047883,0.2449332,0.292443444,0.109658671,0.5297993,0.438164505,0.07987082,0.052239743,0.494974005,0.519139851,0.374103433
0.538463377,0.559022187,0.489727767,0.104721198,0.163035398,0.286110154,0.457344881,0.903260633,0.65071431,0.709846789,0.954603216,0.549156474,0.716882496,0.70527242,0.439349529
0.51856379,0.900116768,0.083921199,0.476476405,0.824596853,0.955784075,0.942914251,0.548971433,0.989813628,0.334832241,0.884693437,0.46581791,0.749401922,0.906839663,0.763790799
0.125953555,0.751148718,0.806071519,0.74504902,0.747460002,0.592784605,0.501863256,0.201736011,0.431992577,0.902057018,0.187732712,0.048396043,0.652441725,0.510036457,0.038723327
0.903451175,0.528296044,0.838860209,0.255663485,0.884335009,0.16225096,0.774206767,0.293331764,0.646796347,0.58848749,0.806260632,0.222077517,0.913395872,0.898983657,0.153587862
0.284597507,0.749036822,0.637706157,0.548562431,0.248716381,0.154809627,0.749706485,0.78655111,0.408401987,0.374857259,0.028195337,0.548131443,0.16273416,0.730725791,0.725310334
0.529184126,0.180469651,0.022034,0.893950372,0.295134959,0.52640825,0.25574801,0.55369238,0.054330997,0.668987062,0.586243809,0.179727707,0.411326473,0.099198031,0.19384018
0.831410005,0.175102153,0.792066592,0.089763469,0.192135889,0.716738388,0.564508404,0.280632469,0.444402172,0.297249361,0.288075819,0.009523535,0.60116211,0.579123878,0.40807905
0.742393869,0.866364715,0.430418257,0.805988139,0.458374128,0.746973523,0.387030309,0.930227596,0.045835564,0.003506822,0.243026572,0.384727287,0.167466927,0.057215844,0.945061004
0.674580983,0.891222351,0.628146081,0.070987866,0.800209417,0.453774269,0.244331731,0.041935318,0.578818535,0.790412307,0.982344989,0.161826845,0.073505023,0.140539701,0.429453435
0.497582507,0.156264003,0.99604189,0.693114415,0.808863015,0.57372217,0.426472977,0.656549153,0.214147411,0.314233336,0.64756333,0.15831321,0.275911069,0.353289001,0.025099999
0.480228924,0.662925649,0.079713807,0.947250268,0.146532398,0.63355511,0.185391586,0.862284114,0.783100177,0.569663702,0.439401842,0.229394349,0.912651009,0.943112197,0.814591767
0.663638748,0.537550317,0.840663589,0.265696616,0.190346041,0.282394624,0.435754812,0.133730063,0.37353883,0.807557275,0.957357939,0.785047212,0.244728119,0.329415407,0.571957049
0.592285791,0.339995104,0.150963376,0.721831871,0.783176296,0.462577378,0.293789757,0.690595233,0.035085291,0.687839975,0.294560817,0.166803302,0.942073711,0.01498122,0.700652711
0.891446465,0.735708995,0.356869694,0.688737164,0.522233498,0.429114336,0.342815781,0.337578433,0.994512276,0.780903187,0.888502139,0.080012787,0.764176902,0.449951661,0.498427695
0.516361959,0.612035706,0.845884903,0.683971021,0.698653933,0.473400308,0.781088196,0.445886932,0.847825205,0.291845635,0.224473808,0.568813553,0.528469038,0.414799497,0.124059216
0.34711446,0.770832168,0.715769453,0.110571048,0.498667631,0.011714549,0.540624509,0.652542238,0.165323777,0.767522807,0.14637288,0.713733669,0.604370471,0.470714703,0.024578453
0.936214193,0.812396082,0.454169213,0.110260088,0.604954391,0.871313941,0.32219363,0.423802575,0.582895524,0.976104619,0.67996772,0.375618415,0.579934868,0.323849512,0.800394789
0.621500255,0.462303028,0.692348459,0.994176212,0.179115467,0.500817227,0.175924252,0.704163109,0.864795002,0.172571083,0.741492545,0.172091835,0.175402882,0.45263483,0.585657958
0.668642187,0.297112556,0.958545244,0.390241365,0.352922958,0.019045716,0.630282807,0.854711805,0.665784265,0.921313591,0.109220575,0.55401543,0.035043722,0.079964702,0.594695135
0.693759717,0.023823356,0.893887391,0.444306565,0.881307332,0.067081579,0.013231187,0.173161141,0.091080296,0.430875945,0.01986923,0.182124546,0.233883613,0.742402998,0.119753534
0.543989945,0.094946383,0.111846311,0.128940582,0.186824514,0.638743357,0.684104036,0.003766732,0.815813179,0.964792279,0.728138052,0.804461841,0.980573706,0.740476705,0.252111896
0.220870549,0.460090704,0.671972101,0.964123031,0.461464309,0.925019003,0.592265114,0.031025121,0.877283708,0.194106172,0.42964737,0.636452883,0.682727121,0.537535213,0.074811
0.933064436,0.086573352,0.741606882,0.040159226,0.403454918,0.861345851,0.827802295,0.054243907,0.732209272,0.66660928,0.72147677,0.578223748,0.774131811,0.953406814,0.547484558
0.561543823,0.897541251,0.487763415,0.037604088,0.583762017,0.979559478,0.265841417,0.528262242,0.725487323,0.370195763,0.926256644,0.971295142,0.394976174,0.734725067,0.318094473
0.227704366,0.981130092,0.601786328,0.98559295,0.899552836,0.884360779,0.882968239,0.412713054,0.970617618,0.11355998,0.763073167,0.52023923,0.646357373,0.491841979,0.504337263
0.772131331,0.534625159,0.99237925,0.765502466,0.800369182,0.737263686,0.307042461,0.809213384,0.382830246,0.354183378,0.971887526,0.188519167,0.464896582,0.619102057,0.028187499
0.799639524,0.577171447,0.31477419,0.063730332,0.025403113,0.256665373,0.083919548,0.571899422,0.541869302,0.687889347,0.007032045,0.090312223,0.889582002,0.001590072,0.291862181
0.649367136,0.062564322,0.75122703,0.156033669,0.075330383,0.870255509,0.191910939,0.231838977,0.307822886,0.294831831,0.972584286,0.631165681,0.892699821,0.554696441,0.280471624
0.42044925,0.288929483,0.132554528,0.30745621,0.787619351,0.422086429,0.052676029,0.019818898,0.315640141,0.174571084,0.42983448,0.056849184,0.003604406,0.868367781,0.916018087
0.012829116,0.0843676,0.853280262,0.459241294,0.897783742,0.041018067,0.119979689,0.082596734,0.177045276,0.12040138,0.54255973,0.232692584,0.834808346,0.632766279,0.096426472
0.607668343,0.268062183,0.167355106,0.233486207,0.189189695,0.882848736,0.030382947,0.864156933,0.128962698,0.963670848,0.210264871,0.981187128,0.980803103,0.994552035,0.883250148
0.74520502,0.198873844,0.138333984,0.666482305,0.971943525,0.683946725,0.02857196,0.938256175,0.622428161,0.891969335,0.019947496,0.337835791,0.28550018,0.242029392,0.937808416
0.041455162,0.274492511,0.26304084,0.755218723,0.756457829,0.439565097,0.296892792,0.597294681,0.553542663,0.332390058,0.542299936,0.325437179,0.814793472,0.859930281,0.299224647
0.673364698,0.678885395,0.27238729,0.330319446,0.003314084,0.771806796,0.908393885,0.933458553,0.345492295,0.873477257,0.500787404,0.704603704,0.361408374,0.844635155,0.108118008
0.584245006,0.406990745,0.616209188,0.963176041,0.274403008,0.055346973,0.340788571,0.207736682,0.67816126,0.224259408,0.434402423,0.404989031,0.010091058,0.535676299,0.505865218
0.607327086,0.305793846,0.679757801,0.971158711,0.043311225,0.97554055,0.150368783,0.677008294,0.301596327,0.525548405,0.822522647,0.686179675,0.109064641,0.794057682,0.136009657
0.606691257,0.501720222,0.437284584,0.512910631,0.968855355,0.262434125,0.179788557,0.935126701,0.649013394,0.131646308,0.074996312,0.666027041,0.775339363,0.051784397,0.832541853
0.87606332,0.830535102,0.853687997,0.797686559,0.10106096,0.734162403,0.149364091,0.869693627,0.758779299,0.768031335,0.277786702,0.620933502,0.549058488,0.254372028,0.164603407
0.065819548,0.43965452,0.264755029,0.156682722,0.954586542,0.98474562,0.366357058,0.748449976,0.552551309,0.109166164,0.770156906,0.423927643,0.190970429,0.809264006,0.222461202
0.254096621,0.190145719,0.180741602,0.338373301,0.695699929,0.375359199,0.215076499,0.768139074,0.935288187,0.60112329,0.541393671,0.166881944,0.276810012,0.507611319,0.014667243
0.058282986,0.947450883,0.829402683,0.108700065,0.163566998,0.549582577,0.28747319,0.95400334,0.3159789,0.892279963,0.440360792,0.490973434,0.254660487,0.205464065,0.234743332
0.093821572,0.250787701,0.976604449,0.791997321,0.080559955,0.742016669,0.408461798,0.108690688,0.070226229,0.132308807,0.996939228,0.517973391,0.698625038,0.396706737,0.197797237
0.627758216,0.719417578,0.194255021,0.255660013,0.31550748,0.197298188,0.361768146,0.396167197,0.555706943,0.318370429,0.529995819,0.604156943,0.951767692,0.721216716,0.8517274
0.615410741,0.850376853,0.357045319,0.65083855,0.060592128,0.118407794,0.364775969,0.688356432,0.375742782,0.413219581,0.384503641,0.533851851,0.188363672,0.945067168,0.114549479
0.8259716,0.853461613,0.975363348,0.639723221,0.490382318,0.534188283,0.20923177,0.867639597,0.735468832,0.264427749,0.320621102,0.847672099,0.975218529,0.930920389,0.62645412
0.487319044,0.624643601,0.272185508,0.894146833,0.425629447,0.700132687,0.197086149,0.289319119,0.822145046,0.493523952,0.097096006,0.222519572,0.760532319,0.130822047,0.368330163
0.070479116,0.970424358,0.917964762,0.394075116,0.058653288,0.518944416,0.966558891,0.82501305,0.925632896,0.304915975,0.44523512,0.83150233,0.330214749,0.684042562,0.869279405
0.640760593,0.012323516,0.158407129,0.451662377,0.304990073,0.37312439,0.18350302,0.514972735,0.799598562,0.055658346,0.72643805,0.638885353,0.172115356,0.681767483,0.259553693
0.11019747,0.441199555,0.778070245,0.675600859,0.32286756,0.022622905,0.839170961,0.3328827,0.186084446,0.171836402,0.412538812,0.183948415,0.758578215,0.42753369,0.884179456
0.045154272,0.399404492,0.509617096,0.839049273,0.27558055,0.419993801,0.068976559,0.250996982,0.509162433,0.645782573,0.657300048,0.908878072,0.920866874,0.753761913,0.935288402
0.098034771,0.009299362,0.707805627,0.041443809,0.437378073,0.580755575,0.821938399,0.662184812,0.432217953,0.33419478,0.980081773,0.230976928,0.627099253,0.209562319,0.554680236
0.138600031,0.851126512,0.792134003,0.117500573,0.43875968,0.585860279,0.695438891,0.178344154,0.960459909,0.872972848,0.0533828,0.278760702,0.233277967,0.151063391,0.780197006
0.456343084,0.035769808,0.330820767,0.230280281,0.882610653,0.28430958,0.93102699,0.731286129,0.904082537,0.573957548,0.594930336,0.190852956,0.340569893,0.524532853,0.576998149
